Date,Title,URL
"March 8, 2024, 00:00",Video address on International Women’s Day,http://en.kremlin.ru/events/president/transcripts/73624
"March 6, 2024, 20:15",Conversation with foreign students,http://en.kremlin.ru/events/president/transcripts/73614
"March 6, 2024, 17:00",Meeting with IAEA Director General Rafael Grossi,http://en.kremlin.ru/events/president/transcripts/73612
"February 21, 2024, 21:45",Opening ceremony for Games of the Future international tournament,http://en.kremlin.ru/events/president/transcripts/73520
"February 21, 2024, 18:50",Meeting with President of Tajikistan Emomali Rahmon,http://en.kremlin.ru/events/president/transcripts/73519
"February 21, 2024, 18:10",Meeting with President of Uzbekistan Shavkat Mirziyoyev,http://en.kremlin.ru/events/president/transcripts/73518
"February 21, 2024, 17:30",Meeting with President of Kazakhstan Kassym-Jomart Tokayev,http://en.kremlin.ru/events/president/transcripts/73517
"February 21, 2024, 16:25",Meeting with President of Kyrgyzstan Sadyr Japarov,http://en.kremlin.ru/events/president/transcripts/73516
"January 28, 2024, 18:20",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/73339
"January 24, 2024, 14:30",Talks with transitional President of Chad Mahamat Idriss Deby,http://en.kremlin.ru/events/president/transcripts/73299
"December 27, 2023, 19:50",Meeting with Minister of External Affairs of India Subrahmanyam Jaishankar,http://en.kremlin.ru/events/president/transcripts/73190
"December 26, 2023, 20:00",Informal meeting of the CIS heads of state,http://en.kremlin.ru/events/president/transcripts/73171
"December 25, 2023, 20:40",Speech by President of Russia at the expanded-format meeting of the Supreme Eurasian Economic Council,http://en.kremlin.ru/events/president/transcripts/73128
"December 25, 2023, 19:30",Speech by President of Russia at the restricted-format meeting of the Supreme Eurasian Economic Council,http://en.kremlin.ru/events/president/transcripts/73127
"December 18, 2023, 11:20",Video address to participants in CIS Heads of Government Council meeting,http://en.kremlin.ru/events/president/transcripts/73014
"December 7, 2023, 22:40",Russian-Iranian talks,http://en.kremlin.ru/events/president/transcripts/72929
"December 6, 2023, 16:00",Russia-UAE talks,http://en.kremlin.ru/events/president/transcripts/72918
"December 4, 2023, 18:50",Ceremony to present diplomatic credentials,http://en.kremlin.ru/events/president/transcripts/72903
"December 4, 2023, 17:30",Presenting the #WeAreTogether international awards,http://en.kremlin.ru/events/president/transcripts/72902
"November 23, 2023, 15:40",CSTO summit,http://en.kremlin.ru/events/president/transcripts/72800
"November 21, 2023, 17:40",Extraordinary BRICS summit,http://en.kremlin.ru/events/president/transcripts/72780
"November 21, 2023, 16:00",Press statements following Russian-Tajikistani talks,http://en.kremlin.ru/events/president/transcripts/72781
"November 21, 2023, 15:40","Presenting the Order for Service to the Fatherland, III degree, to President of Tajikistan Emomali Rahmon",http://en.kremlin.ru/events/president/transcripts/72779
"November 21, 2023, 14:20",Beginning of Russia-Tajikistan talks in restricted format,http://en.kremlin.ru/events/president/transcripts/72775
"November 9, 2023, 14:45",Media statements by presidents of Russia and Kazakhstan,http://en.kremlin.ru/events/president/transcripts/72706
"November 9, 2023, 13:30",Beginning of Russia-Kazakhstan talks in expanded format,http://en.kremlin.ru/events/president/transcripts/72705
"November 9, 2023, 12:15",Beginning of Russia-Kazakhstan talks in restricted format,http://en.kremlin.ru/events/president/transcripts/72704
"November 9, 2023, 11:45",Russia-Kazakhstan Interregional Cooperation Forum,http://en.kremlin.ru/events/president/transcripts/72699
"November 8, 2023, 15:05",Meeting with Vice Chairman of China's Central Military Commission Zhang Youxia,http://en.kremlin.ru/events/president/transcripts/72687
"November 8, 2023, 09:30",Video address to participants of the 11th meeting of security council secretaries of the CIS member states,http://en.kremlin.ru/events/president/transcripts/72683
"November 8, 2023, 00:00",Interview to Kazakhstanskaya Pravda newspaper,http://en.kremlin.ru/events/president/transcripts/72682
"October 19, 2023, 12:40",Russia – Country of Sports International Forum,http://en.kremlin.ru/events/president/transcripts/72543
"October 18, 2023, 13:05",News conference following the visit to China,http://en.kremlin.ru/events/president/transcripts/72532
"October 18, 2023, 06:35",Belt and Road Forum for International Cooperation,http://en.kremlin.ru/events/president/transcripts/72528
"October 17, 2023, 18:35",Meeting with Acting Prime Minister of Pakistan Anwar-ul-Haq Kakar,http://en.kremlin.ru/events/president/transcripts/72523
"October 17, 2023, 16:30",Meeting with President of Mongolia Ukhnaagiin Khurelsukh,http://en.kremlin.ru/events/president/transcripts/72519
"October 17, 2023, 12:10",Meeting with Prime Minister of Hungary Viktor Orban,http://en.kremlin.ru/events/president/transcripts/72516
"October 17, 2023, 10:30",Meeting with President of Vietnam Vo Van Thuong,http://en.kremlin.ru/events/president/transcripts/72515
"October 16, 2023, 07:00",Interview to China Media Group,http://en.kremlin.ru/events/president/transcripts/72508
"October 13, 2023, 13:10",Address by the President of Russia at the CIS Heads of State Council meeting in an expanded format,http://en.kremlin.ru/events/president/transcripts/72501
"October 13, 2023, 12:00",Address by the President of Russia at the CIS Heads of State Council meeting in a restricted format,http://en.kremlin.ru/events/president/transcripts/72500
"October 13, 2023, 09:50",Meeting with President of Tajikistan Emomali Rahmon,http://en.kremlin.ru/events/president/transcripts/72498
"October 12, 2023, 17:40",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/72492
"October 12, 2023, 13:50",Official event marking the 20th anniversary of establishing a Russian air base in Kyrgyzstan,http://en.kremlin.ru/events/president/transcripts/72489
"October 12, 2023, 12:55",Awarding the Order of Honour to President of Kyrgyzstan Sadyr Japarov,http://en.kremlin.ru/events/president/transcripts/72487
"October 12, 2023, 12:45",Russia-Kyrgyzstan talks,http://en.kremlin.ru/events/president/transcripts/72486
"October 11, 2023, 09:00",Address to participants at the Tenth Russia-Kyrgyzstan Interregional Conference,http://en.kremlin.ru/events/president/transcripts/72477
"October 10, 2023, 14:55",Russia-Iraq talks,http://en.kremlin.ru/events/president/transcripts/72473
"October 7, 2023, 16:30",Meeting with President of Kazakhstan Kassym-Jomart Tokayev,http://en.kremlin.ru/events/president/transcripts/72456
"October 7, 2023, 15:00",Launch of Russian gas supplies to Uzbekistan via Kazakhstan,http://en.kremlin.ru/events/president/transcripts/72453
"October 6, 2023, 18:55",The President of Russia and the President of Uzbekistan made statements for the media,http://en.kremlin.ru/events/president/transcripts/72450
"October 6, 2023, 18:20",Russia-Uzbekistan talks,http://en.kremlin.ru/events/president/transcripts/72448
"October 5, 2023, 16:45",Valdai International Discussion Club meeting,http://en.kremlin.ru/events/president/transcripts/72444
"October 4, 2023, 16:25",Meeting with finalists of the International Financial Security Olympiad,http://en.kremlin.ru/events/president/transcripts/72429
"September 29, 2023, 17:20",Opening of the Russia-Latin America Parliamentary Conference,http://en.kremlin.ru/events/president/transcripts/72401
"September 15, 2023, 12:00",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/72276
"September 13, 2023, 12:20",Formal dinner in honour of Chairman of State Affairs of the Democratic People's Republic of Korea Kim Jong-un,http://en.kremlin.ru/events/president/transcripts/72266
"September 13, 2023, 08:50",Russia-North Korea talks,http://en.kremlin.ru/events/president/transcripts/72265
"September 1, 2023, 14:20",Groundbreaking ceremony for three Russian-language schools in Kyrgyzstan,http://en.kremlin.ru/events/president/transcripts/72168
"August 24, 2023, 12:40",Meeting in the BRICS Plus/Outreach format,http://en.kremlin.ru/events/president/transcripts/72096
"August 24, 2023, 11:15",BRICS leaders made media statements,http://en.kremlin.ru/events/president/transcripts/72095
"August 23, 2023, 13:35",BRICS leaders’ extended format meeting,http://en.kremlin.ru/events/president/transcripts/72089
"August 22, 2023, 19:10",Video Address to the Participants in the BRICS Business Forum,http://en.kremlin.ru/events/president/transcripts/72085
"August 15, 2023, 10:10",Video address to the participants and guests of the 11th Moscow Conference on International Security,http://en.kremlin.ru/events/president/transcripts/72040
"August 14, 2023, 13:05",Address on the opening of the Army 2023 International Military Technical Forum,http://en.kremlin.ru/events/president/transcripts/72033
"July 28, 2023, 23:40",Meeting with heads of African delegations on Ukrainian agenda,http://en.kremlin.ru/events/president/transcripts/71835
"July 28, 2023, 20:45",Meeting with President of the Central African Republic Faustin-Archange Touadera,http://en.kremlin.ru/events/president/transcripts/71831
"July 28, 2023, 19:25",Press statements by President of Russia and Chairperson of the African Union,http://en.kremlin.ru/events/president/transcripts/71829
"July 28, 2023, 18:55",Vladimir Putin’s concluding remarks at the second plenary session of the Russia-Africa Summit,http://en.kremlin.ru/events/president/transcripts/71828
"July 28, 2023, 13:50",Russia–Africa Summit,http://en.kremlin.ru/events/president/transcripts/71826
"July 27, 2023, 21:10",Gala reception for participants in the second Russia–Africa Summit,http://en.kremlin.ru/events/president/transcripts/71824
"July 27, 2023, 18:15",Working breakfast with heads of African regional organisations,http://en.kremlin.ru/events/president/transcripts/71818
